# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.5 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (Meteosat Second Generation satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2020-05-25T00:00:00.0
# Date end (ISO 8601): 2020-05-26T00:00:00.0
# Latitude (positive North, ISO 19115): 46.8123
# Longitude (positive East, ISO 19115): 6.9422
# Altitude (m): 487.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 0 h 15 min 0 s
# noValue: nan
# File generated on: 2023-05-27
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2020-05-25T00:00:00.0/2020-05-25T00:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-05-25T00:15:00.0/2020-05-25T00:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-05-25T00:30:00.0/2020-05-25T00:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-05-25T00:45:00.0/2020-05-25T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-05-25T01:00:00.0/2020-05-25T01:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-05-25T01:15:00.0/2020-05-25T01:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-05-25T01:30:00.0/2020-05-25T01:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-05-25T01:45:00.0/2020-05-25T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-05-25T02:00:00.0/2020-05-25T02:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-05-25T02:15:00.0/2020-05-25T02:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-05-25T02:30:00.0/2020-05-25T02:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-05-25T02:45:00.0/2020-05-25T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-05-25T03:00:00.0/2020-05-25T03:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-05-25T03:15:00.0/2020-05-25T03:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-05-25T03:30:00.0/2020-05-25T03:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-05-25T03:45:00.0/2020-05-25T04:00:00.0;1.5688;0.3600;0.0143;0.3457;0.0000;0.3600;0.0143;0.3457;0.0000;1.0000
2020-05-25T04:00:00.0/2020-05-25T04:15:00.0;12.8233;3.8570;0.7026;3.1544;16.1438;3.8570;0.7026;3.1544;16.1438;1.0000
2020-05-25T04:15:00.0/2020-05-25T04:30:00.0;25.9794;10.0387;3.4087;6.6300;42.4037;10.0387;3.4087;6.6300;42.4037;1.0000
2020-05-25T04:30:00.0/2020-05-25T04:45:00.0;39.3955;18.0747;8.1819;9.8928;68.2131;18.0747;8.1819;9.8928;68.2131;1.0000
2020-05-25T04:45:00.0/2020-05-25T05:00:00.0;53.0142;27.4368;14.6868;12.7500;91.4618;27.4368;14.6868;12.7500;91.4618;1.0000
2020-05-25T05:00:00.0/2020-05-25T05:15:00.0;66.7773;37.7294;22.5414;15.1880;111.6911;37.7294;22.5414;15.1880;111.6911;1.0000
2020-05-25T05:15:00.0/2020-05-25T05:30:00.0;80.6257;48.6612;31.4022;17.2590;129.0129;48.6612;31.4022;17.2590;129.0129;1.0000
2020-05-25T05:30:00.0/2020-05-25T05:45:00.0;94.5004;60.0187;40.9934;19.0253;143.7777;60.0187;40.9934;19.0253;143.7777;1.0000
2020-05-25T05:45:00.0/2020-05-25T06:00:00.0;108.3418;71.6415;51.1035;20.5379;156.3952;71.6415;51.1035;20.5379;156.3952;1.0000
2020-05-25T06:00:00.0/2020-05-25T06:15:00.0;122.0909;83.3946;61.5386;21.8560;167.1613;83.3946;61.5386;21.8560;167.1613;1.0000
2020-05-25T06:15:00.0/2020-05-25T06:30:00.0;135.6886;95.1742;72.1632;23.0110;176.4035;95.1742;72.1632;23.0110;176.4035;1.0000
2020-05-25T06:30:00.0/2020-05-25T06:45:00.0;149.0769;106.8995;82.8977;24.0019;184.4633;106.8995;82.8977;24.0019;184.4633;1.0000
2020-05-25T06:45:00.0/2020-05-25T07:00:00.0;162.1984;118.4909;93.6457;24.8452;191.5357;118.4909;93.6457;24.8452;191.5357;1.0000
2020-05-25T07:00:00.0/2020-05-25T07:15:00.0;174.9970;129.8757;104.3188;25.5569;197.7709;129.8757;104.3188;25.5569;197.7709;1.0000
2020-05-25T07:15:00.0/2020-05-25T07:30:00.0;187.4179;140.9874;114.8350;26.1524;203.2870;140.9874;114.8350;26.1524;203.2870;1.0000
2020-05-25T07:30:00.0/2020-05-25T07:45:00.0;199.4081;151.7648;125.1186;26.6462;208.1793;151.7648;125.1186;26.6462;208.1793;1.0000
2020-05-25T07:45:00.0/2020-05-25T08:00:00.0;210.9161;162.1511;135.1001;27.0509;212.5267;162.1511;135.1001;27.0509;212.5267;1.0000
