PeriodStart,Dhi,Dni,Ghi
2020-02-18T00:00:00Z,0,0,0
2020-02-18T00:15:00Z,0,0,0
2020-02-18T00:30:00Z,0,0,0
2020-02-18T00:45:00Z,0,0,0
2020-02-18T01:00:00Z,0,0,0
2020-02-18T01:15:00Z,0,0,0
2020-02-18T01:30:00Z,0,0,0
2020-02-18T01:45:00Z,0,0,0
2020-02-18T02:00:00Z,0,0,0
2020-02-18T02:15:00Z,0,0,0
2020-02-18T02:30:00Z,0,0,0
2020-02-18T02:45:00Z,0,0,0
2020-02-18T03:00:00Z,0,0,0
2020-02-18T03:15:00Z,0,0,0
2020-02-18T03:30:00Z,0,0,0
2020-02-18T03:45:00Z,0,0,0
2020-02-18T04:00:00Z,0,0,0
2020-02-18T04:15:00Z,0,0,0
2020-02-18T04:30:00Z,0,0,0
2020-02-18T04:45:00Z,0,0,0
2020-02-18T05:00:00Z,0,0,0
2020-02-18T05:15:00Z,0,0,0
2020-02-18T05:30:00Z,0,0,0
2020-02-18T05:45:00Z,0,0,0
2020-02-18T06:00:00Z,0,0,0
2020-02-18T06:15:00Z,0,0,0
2020-02-18T06:30:00Z,0,0,0
2020-02-18T06:45:00Z,0,0,0
2020-02-18T07:00:00Z,3,4,3
2020-02-18T07:15:00Z,18,98,27
2020-02-18T07:30:00Z,32,307,62
2020-02-18T07:45:00Z,42,438,103
2020-02-18T08:00:00Z,50,532,146
2020-02-18T08:15:00Z,56,607,190
2020-02-18T08:30:00Z,61,666,235
2020-02-18T08:45:00Z,65,715,278
2020-02-18T09:00:00Z,96,617,302
2020-02-18T09:15:00Z,179,270,277
2020-02-18T09:30:00Z,219,140,276
2020-02-18T09:45:00Z,113,687,409
2020-02-18T10:00:00Z,165,515,399
2020-02-18T10:15:00Z,217,0,217
2020-02-18T10:30:00Z,232,0,232
2020-02-18T10:45:00Z,257,305,416
2020-02-18T11:00:00Z,264,310,431
2020-02-18T11:15:00Z,282,271,431
2020-02-18T11:30:00Z,165,664,539
2020-02-18T11:45:00Z,79,924,605
2020-02-18T12:00:00Z,79,927,611
2020-02-18T12:15:00Z,79,928,612
2020-02-18T12:30:00Z,79,927,610
2020-02-18T12:45:00Z,111,833,584
2020-02-18T13:00:00Z,180,621,527
2020-02-18T13:15:00Z,77,917,581
2020-02-18T13:30:00Z,90,871,556
2020-02-18T13:45:00Z,125,749,512
2020-02-18T14:00:00Z,74,893,519
2020-02-18T14:15:00Z,73,880,492
2020-02-18T14:30:00Z,72,864,462
2020-02-18T14:45:00Z,70,844,428
2020-02-18T15:00:00Z,69,820,392
2020-02-18T15:15:00Z,90,686,338
2020-02-18T15:30:00Z,121,470,274
2020-02-18T15:45:00Z,101,482,242
2020-02-18T16:00:00Z,110,306,187
2020-02-18T16:15:00Z,59,561,177
2020-02-18T16:30:00Z,45,551,139
2020-02-18T16:45:00Z,37,457,96
2020-02-18T17:00:00Z,32,136,45
2020-02-18T17:15:00Z,9,0,9
2020-02-18T17:30:00Z,0,0,0
2020-02-18T17:45:00Z,0,0,0
2020-02-18T18:00:00Z,0,0,0
2020-02-18T18:15:00Z,0,0,0
2020-02-18T18:30:00Z,0,0,0
2020-02-18T18:45:00Z,0,0,0
2020-02-18T19:00:00Z,0,0,0
2020-02-18T19:15:00Z,0,0,0
2020-02-18T19:30:00Z,0,0,0
2020-02-18T19:45:00Z,0,0,0
2020-02-18T20:00:00Z,0,0,0
2020-02-18T20:15:00Z,0,0,0
2020-02-18T20:30:00Z,0,0,0
2020-02-18T20:45:00Z,0,0,0
2020-02-18T21:00:00Z,0,0,0
2020-02-18T21:15:00Z,0,0,0
2020-02-18T21:30:00Z,0,0,0
2020-02-18T21:45:00Z,0,0,0
2020-02-18T22:00:00Z,0,0,0
2020-02-18T22:15:00Z,0,0,0
2020-02-18T22:30:00Z,0,0,0
2020-02-18T22:45:00Z,0,0,0
2020-02-18T23:00:00Z,0,0,0
2020-02-18T23:15:00Z,0,0,0
2020-02-18T23:30:00Z,0,0,0
2020-02-18T23:45:00Z,0,0,0
