PeriodStart,Dhi,Dni,Ghi
2020-01-27T00:00:00Z,0,0,0
2020-01-27T00:15:00Z,0,0,0
2020-01-27T00:30:00Z,0,0,0
2020-01-27T00:45:00Z,0,0,0
2020-01-27T01:00:00Z,0,0,0
2020-01-27T01:15:00Z,0,0,0
2020-01-27T01:30:00Z,0,0,0
2020-01-27T01:45:00Z,0,0,0
2020-01-27T02:00:00Z,0,0,0
2020-01-27T02:15:00Z,0,0,0
2020-01-27T02:30:00Z,0,0,0
2020-01-27T02:45:00Z,0,0,0
2020-01-27T03:00:00Z,0,0,0
2020-01-27T03:15:00Z,0,0,0
2020-01-27T03:30:00Z,0,0,0
2020-01-27T03:45:00Z,0,0,0
2020-01-27T04:00:00Z,0,0,0
2020-01-27T04:15:00Z,0,0,0
2020-01-27T04:30:00Z,0,0,0
2020-01-27T04:45:00Z,0,0,0
2020-01-27T05:00:00Z,0,0,0
2020-01-27T05:15:00Z,0,0,0
2020-01-27T05:30:00Z,0,0,0
2020-01-27T05:45:00Z,0,0,0
2020-01-27T06:00:00Z,0,0,0
2020-01-27T06:15:00Z,0,0,0
2020-01-27T06:30:00Z,0,0,0
2020-01-27T06:45:00Z,0,0,0
2020-01-27T07:00:00Z,6,1,6
2020-01-27T07:15:00Z,20,3,20
2020-01-27T07:30:00Z,33,0,33
2020-01-27T07:45:00Z,43,0,43
2020-01-27T08:00:00Z,60,0,60
2020-01-27T08:15:00Z,74,0,74
2020-01-27T08:30:00Z,91,0,91
2020-01-27T08:45:00Z,111,104,133
2020-01-27T09:00:00Z,121,138,153
2020-01-27T09:15:00Z,130,163,171
2020-01-27T09:30:00Z,137,187,187
2020-01-27T09:45:00Z,159,0,159
2020-01-27T10:00:00Z,170,0,170
2020-01-27T10:15:00Z,182,27,190
2020-01-27T10:30:00Z,178,82,205
2020-01-27T10:45:00Z,143,339,252
2020-01-27T11:00:00Z,165,212,233
2020-01-27T11:15:00Z,183,0,183
2020-01-27T11:30:00Z,190,38,202
2020-01-27T11:45:00Z,164,192,225
2020-01-27T12:00:00Z,122,424,254
2020-01-27T12:15:00Z,145,250,221
2020-01-27T12:30:00Z,161,77,184
2020-01-27T12:45:00Z,150,0,150
2020-01-27T13:00:00Z,143,39,153
2020-01-27T13:15:00Z,121,154,158
2020-01-27T13:30:00Z,119,34,127
2020-01-27T13:45:00Z,95,0,95
2020-01-27T14:00:00Z,74,0,74
2020-01-27T14:15:00Z,69,0,69
2020-01-27T14:30:00Z,53,0,53
2020-01-27T14:45:00Z,30,4,31
2020-01-27T15:00:00Z,4,0,4
2020-01-27T15:15:00Z,0,0,0
2020-01-27T15:30:00Z,0,0,0
2020-01-27T15:45:00Z,0,0,0
2020-01-27T16:00:00Z,0,0,0
2020-01-27T16:15:00Z,0,0,0
2020-01-27T16:30:00Z,0,0,0
2020-01-27T16:45:00Z,0,0,0
2020-01-27T17:00:00Z,0,0,0
2020-01-27T17:15:00Z,0,0,0
2020-01-27T17:30:00Z,0,0,0
2020-01-27T17:45:00Z,0,0,0
2020-01-27T18:00:00Z,0,0,0
2020-01-27T18:15:00Z,0,0,0
2020-01-27T18:30:00Z,0,0,0
2020-01-27T18:45:00Z,0,0,0
2020-01-27T19:00:00Z,0,0,0
2020-01-27T19:15:00Z,0,0,0
2020-01-27T19:30:00Z,0,0,0
2020-01-27T19:45:00Z,0,0,0
2020-01-27T20:00:00Z,0,0,0
2020-01-27T20:15:00Z,0,0,0
2020-01-27T20:30:00Z,0,0,0
2020-01-27T20:45:00Z,0,0,0
2020-01-27T21:00:00Z,0,0,0
2020-01-27T21:15:00Z,0,0,0
2020-01-27T21:30:00Z,0,0,0
2020-01-27T21:45:00Z,0,0,0
2020-01-27T22:00:00Z,0,0,0
2020-01-27T22:15:00Z,0,0,0
2020-01-27T22:30:00Z,0,0,0
2020-01-27T22:45:00Z,0,0,0
2020-01-27T23:00:00Z,0,0,0
2020-01-27T23:15:00Z,0,0,0
2020-01-27T23:30:00Z,0,0,0
2020-01-27T23:45:00Z,0,0,0
