PeriodStart,Dhi,Dni,Ghi
2020-02-18T00:00:00Z,0,0,0
2020-02-18T00:15:00Z,0,0,0
2020-02-18T00:30:00Z,0,0,0
2020-02-18T00:45:00Z,0,0,0
2020-02-18T01:00:00Z,0,0,0
2020-02-18T01:15:00Z,0,0,0
2020-02-18T01:30:00Z,0,0,0
2020-02-18T01:45:00Z,0,0,0
2020-02-18T02:00:00Z,0,0,0
2020-02-18T02:15:00Z,0,0,0
2020-02-18T02:30:00Z,0,0,0
2020-02-18T02:45:00Z,0,0,0
2020-02-18T03:00:00Z,0,0,0
2020-02-18T03:15:00Z,0,0,0
2020-02-18T03:30:00Z,0,0,0
2020-02-18T03:45:00Z,0,0,0
2020-02-18T04:00:00Z,0,0,0
2020-02-18T04:15:00Z,0,0,0
2020-02-18T04:30:00Z,0,0,0
2020-02-18T04:45:00Z,0,0,0
2020-02-18T05:00:00Z,0,0,0
2020-02-18T05:15:00Z,0,0,0
2020-02-18T05:30:00Z,0,0,0
2020-02-18T05:45:00Z,0,0,0
2020-02-18T06:00:00Z,0,0,0
2020-02-18T06:15:00Z,1,0,1
2020-02-18T06:30:00Z,6,0,6
2020-02-18T06:45:00Z,17,0,17
2020-02-18T07:00:00Z,42,0,42
2020-02-18T07:15:00Z,63,30,67
2020-02-18T07:30:00Z,57,0,57
2020-02-18T07:45:00Z,70,0,70
2020-02-18T08:00:00Z,122,0,122
2020-02-18T08:15:00Z,136,0,136
2020-02-18T08:30:00Z,167,7,169
2020-02-18T08:45:00Z,172,2,172
2020-02-18T09:00:00Z,102,0,102
2020-02-18T09:15:00Z,47,0,47
2020-02-18T09:30:00Z,182,83,214
2020-02-18T09:45:00Z,94,713,373
2020-02-18T10:00:00Z,90,747,393
2020-02-18T10:15:00Z,117,650,387
2020-02-18T10:30:00Z,202,307,333
2020-02-18T10:45:00Z,196,151,261
2020-02-18T11:00:00Z,96,0,96
2020-02-18T11:15:00Z,202,1,202
2020-02-18T11:30:00Z,233,147,296
2020-02-18T11:45:00Z,183,0,183
2020-02-18T12:00:00Z,157,0,157
2020-02-18T12:15:00Z,156,0,156
2020-02-18T12:30:00Z,131,0,131
2020-02-18T12:45:00Z,215,0,215
2020-02-18T13:00:00Z,146,0,146
2020-02-18T13:15:00Z,91,0,91
2020-02-18T13:30:00Z,115,0,115
2020-02-18T13:45:00Z,152,0,152
2020-02-18T14:00:00Z,153,69,172
2020-02-18T14:15:00Z,135,17,139
2020-02-18T14:30:00Z,88,0,88
2020-02-18T14:45:00Z,77,1,78
2020-02-18T15:00:00Z,52,409,116
2020-02-18T15:15:00Z,47,259,81
2020-02-18T15:30:00Z,40,75,47
2020-02-18T15:45:00Z,21,76,27
2020-02-18T16:00:00Z,6,8,7
2020-02-18T16:15:00Z,0,0,0
2020-02-18T16:30:00Z,0,0,0
2020-02-18T16:45:00Z,0,0,0
2020-02-18T17:00:00Z,0,0,0
2020-02-18T17:15:00Z,0,0,0
2020-02-18T17:30:00Z,0,0,0
2020-02-18T17:45:00Z,0,0,0
2020-02-18T18:00:00Z,0,0,0
2020-02-18T18:15:00Z,0,0,0
2020-02-18T18:30:00Z,0,0,0
2020-02-18T18:45:00Z,0,0,0
2020-02-18T19:00:00Z,0,0,0
2020-02-18T19:15:00Z,0,0,0
2020-02-18T19:30:00Z,0,0,0
2020-02-18T19:45:00Z,0,0,0
2020-02-18T20:00:00Z,0,0,0
2020-02-18T20:15:00Z,0,0,0
2020-02-18T20:30:00Z,0,0,0
2020-02-18T20:45:00Z,0,0,0
2020-02-18T21:00:00Z,0,0,0
2020-02-18T21:15:00Z,0,0,0
2020-02-18T21:30:00Z,0,0,0
2020-02-18T21:45:00Z,0,0,0
2020-02-18T22:00:00Z,0,0,0
2020-02-18T22:15:00Z,0,0,0
2020-02-18T22:30:00Z,0,0,0
2020-02-18T22:45:00Z,0,0,0
2020-02-18T23:00:00Z,0,0,0
2020-02-18T23:15:00Z,0,0,0
2020-02-18T23:30:00Z,0,0,0
2020-02-18T23:45:00Z,0,0,0
