# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.5 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (Meteosat Second Generation satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2020-07-20T00:00:00.0
# Date end (ISO 8601): 2020-07-21T00:00:00.0
# Latitude (positive North, ISO 19115): 48.7130
# Longitude (positive East, ISO 19115): 2.2080
# Altitude (m): 158.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 0 h 15 min 0 s
# noValue: nan
# File generated on: 2023-05-27
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2020-07-20T06:00:00.0/2020-07-20T06:15:00.0;95.8187;60.7351;44.5914;16.1436;153.2960;34.8532;2.6394;32.2138;9.0704;1.0000
2020-07-20T06:15:00.0/2020-07-20T06:30:00.0;109.0986;71.5337;54.2058;17.3279;163.7076;33.7136;1.0994;32.6142;3.4051;1.0000
2020-07-20T06:30:00.0/2020-07-20T06:45:00.0;122.2842;82.4362;64.0555;18.3807;172.6242;33.4455;0.1679;33.2776;0.4552;1.0000
2020-07-20T06:45:00.0/2020-07-20T07:00:00.0;135.3192;93.3575;74.0398;19.3177;180.3312;36.0500;0.1596;35.8904;0.3884;1.0000
2020-07-20T07:00:00.0/2020-07-20T07:15:00.0;148.1476;104.2205;84.0702;20.1503;187.0455;40.6435;0.3325;40.3110;0.7328;1.0000
2020-07-20T07:15:00.0/2020-07-20T07:30:00.0;160.7144;114.9604;94.0704;20.8900;192.9404;52.7527;2.1625;50.5902;4.4050;1.0000
2020-07-20T07:30:00.0/2020-07-20T07:45:00.0;172.9658;125.5105;103.9642;21.5463;198.1381;63.3187;4.6696;58.6491;8.8662;1.0000
2020-07-20T07:45:00.0/2020-07-20T08:00:00.0;184.8494;135.8073;113.6791;22.1282;202.7318;77.9898;12.7831;65.2066;22.7231;1.0000
2020-07-20T08:00:00.0/2020-07-20T08:15:00.0;196.3141;145.7944;123.1496;22.6448;206.8010;82.3032;12.3976;69.9055;20.8545;1.0000
2020-07-20T08:15:00.0/2020-07-20T08:30:00.0;207.3108;155.4189;132.3151;23.1039;210.4107;92.8928;18.6828;74.2101;29.6401;1.0000
2020-07-20T08:30:00.0/2020-07-20T08:45:00.0;217.7924;164.6313;141.1194;23.5118;213.6152;107.0839;29.7480;77.3358;44.9861;1.0000
2020-07-20T08:45:00.0/2020-07-20T09:00:00.0;227.7139;173.3844;149.5109;23.8735;216.4601;111.1644;29.5215;81.6429;42.7718;1.0000
2020-07-20T09:00:00.0/2020-07-20T09:15:00.0;237.0329;181.6166;157.4003;24.2162;218.9261;116.6761;32.8099;83.8662;45.5482;1.0000
2020-07-20T09:15:00.0/2020-07-20T09:30:00.0;245.7092;189.2859;164.7419;24.5440;221.0485;169.8914;127.4222;42.4692;170.5434;1.0000
2020-07-20T09:30:00.0/2020-07-20T09:45:00.0;253.7058;196.3720;171.5365;24.8355;222.9128;196.3720;171.5365;24.8355;222.9128;1.0000
