# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.5 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (Meteosat Second Generation satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2020-04-13T00:00:00.0
# Date end (ISO 8601): 2020-04-14T00:00:00.0
# Latitude (positive North, ISO 19115): 48.7130
# Longitude (positive East, ISO 19115): 2.2080
# Altitude (m): 158.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 0 h 15 min 0 s
# noValue: nan
# File generated on: 2023-05-27
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2020-04-13T00:00:00.0/2020-04-13T00:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T00:15:00.0/2020-04-13T00:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T00:30:00.0/2020-04-13T00:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T00:45:00.0/2020-04-13T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T01:00:00.0/2020-04-13T01:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T01:15:00.0/2020-04-13T01:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T01:30:00.0/2020-04-13T01:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T01:45:00.0/2020-04-13T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T02:00:00.0/2020-04-13T02:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T02:15:00.0/2020-04-13T02:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T02:30:00.0/2020-04-13T02:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T02:45:00.0/2020-04-13T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T03:00:00.0/2020-04-13T03:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T03:15:00.0/2020-04-13T03:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T03:30:00.0/2020-04-13T03:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T03:45:00.0/2020-04-13T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T04:00:00.0/2020-04-13T04:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T04:15:00.0/2020-04-13T04:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T04:30:00.0/2020-04-13T04:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T04:45:00.0/2020-04-13T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T05:00:00.0/2020-04-13T05:15:00.0;1.0779;0.2224;0.0050;0.2174;0.0000;0.2224;0.0050;0.2174;0.0000;1.0000
2020-04-13T05:15:00.0/2020-04-13T05:30:00.0;12.7706;3.3804;0.4054;2.9750;9.1593;3.3804;0.4054;2.9750;9.1593;1.0000
2020-04-13T05:30:00.0/2020-04-13T05:45:00.0;27.1609;9.1332;2.2122;6.9210;26.7516;8.8031;2.1047;6.6983;25.6539;1.0000
2020-04-13T05:45:00.0/2020-04-13T06:00:00.0;41.6092;16.6511;5.7259;10.9252;46.0616;5.8292;1.3009;4.5283;11.5344;1.0000
2020-04-13T06:00:00.0/2020-04-13T06:15:00.0;56.0535;25.4692;10.7606;14.7086;64.6506;7.2737;0.4167;6.8570;2.2760;1.0000
2020-04-13T06:15:00.0/2020-04-13T06:30:00.0;70.4321;35.1887;16.9910;18.1977;81.4542;28.8332;12.7081;16.1251;59.7816;1.0000
2020-04-13T06:30:00.0/2020-04-13T06:45:00.0;84.6835;45.4927;24.0961;21.3966;96.1985;45.4927;24.0961;21.3966;96.1985;1.0000
2020-04-13T06:45:00.0/2020-04-13T07:00:00.0;98.7467;56.1394;31.8076;24.3318;108.9764;56.1394;31.8076;24.3318;108.9764;1.0000
2020-04-13T07:00:00.0/2020-04-13T07:15:00.0;112.5616;66.9449;39.9135;27.0314;120.0143;66.9449;39.9135;27.0314;120.0143;1.0000
2020-04-13T07:15:00.0/2020-04-13T07:30:00.0;126.0689;77.7662;48.2467;29.5195;129.5608;77.1065;47.2953;29.8112;127.1113;1.0000
2020-04-13T07:30:00.0/2020-04-13T07:45:00.0;139.2110;88.4877;56.6713;31.8164;137.8400;72.4414;32.8171;39.6243;80.3200;1.0000
2020-04-13T07:45:00.0/2020-04-13T08:00:00.0;151.9316;99.0120;65.0726;33.9394;145.0388;81.1169;32.5465;48.5704;72.4558;1.0000
2020-04-13T08:00:00.0/2020-04-13T08:15:00.0;164.1763;109.2543;73.3507;35.9036;151.3078;86.9672;36.1622;50.8050;74.6379;1.0000
2020-04-13T08:15:00.0/2020-04-13T08:30:00.0;175.8927;119.1391;81.4168;37.7223;156.7680;92.6520;39.1617;53.4903;75.3890;1.0000
2020-04-13T08:30:00.0/2020-04-13T08:45:00.0;187.0307;128.5986;89.1915;39.4071;161.5172;105.8809;51.2688;54.6121;92.7601;1.0000
2020-04-13T08:45:00.0/2020-04-13T09:00:00.0;197.5428;137.5714;96.6036;40.9677;165.6352;112.4162;53.5683;58.8479;91.9237;1.0000
2020-04-13T09:00:00.0/2020-04-13T09:15:00.0;207.3838;146.0516;103.7094;42.3423;169.3825;102.2530;32.6607;69.5923;53.5285;1.0000
2020-04-13T09:15:00.0/2020-04-13T09:30:00.0;216.5118;153.9898;110.4604;43.5294;172.8054;84.9637;11.9336;73.0301;18.7590;1.0000
2020-04-13T09:30:00.0/2020-04-13T09:45:00.0;224.8878;161.2917;116.6894;44.6024;175.7529;62.1199;2.2360;59.8838;3.3940;1.0000
2020-04-13T09:45:00.0/2020-04-13T10:00:00.0;232.4759;167.9173;122.3501;45.5672;178.2654;52.4523;0.1976;52.2547;0.2885;1.0000
2020-04-13T10:00:00.0/2020-04-13T10:15:00.0;239.2437;173.8311;127.4023;46.4289;180.3761;52.0845;0.1674;51.9171;0.2365;1.0000
2020-04-13T10:15:00.0/2020-04-13T10:30:00.0;245.1623;179.0020;131.8106;47.1914;182.1126;65.9483;1.9711;63.9772;2.7082;1.0000
2020-04-13T10:30:00.0/2020-04-13T10:45:00.0;250.2065;183.4032;135.5453;47.8579;183.4972;110.3006;26.2967;84.0040;35.5288;1.0000
2020-04-13T10:45:00.0/2020-04-13T11:00:00.0;254.3548;187.0121;138.5813;48.4308;184.5474;148.2331;65.6280;82.6051;87.3432;1.0000
2020-04-13T11:00:00.0/2020-04-13T11:15:00.0;257.5894;189.8102;140.8985;48.9117;185.2765;146.9078;59.7011;87.2067;78.5335;1.0000
2020-04-13T11:15:00.0/2020-04-13T11:30:00.0;259.8967;191.7834;142.4817;49.3016;185.6944;150.0147;49.9864;100.0282;65.1484;1.0000
2020-04-13T11:30:00.0/2020-04-13T11:45:00.0;261.2668;192.9214;143.3205;49.6008;185.8072;156.9532;54.4889;102.4643;70.6388;1.0000
2020-04-13T11:45:00.0/2020-04-13T12:00:00.0;261.6939;193.2183;143.4094;49.8089;185.6178;164.8386;68.9699;95.8686;89.2698;1.0000
2020-04-13T12:00:00.0/2020-04-13T12:15:00.0;261.1764;192.8168;143.1049;49.7119;185.5897;175.7318;101.1218;74.6100;131.1580;1.0000
2020-04-13T12:15:00.0/2020-04-13T12:30:00.0;259.7165;191.7192;142.4081;49.3111;185.7230;187.7818;133.4459;54.3359;174.0562;1.0000
2020-04-13T12:30:00.0/2020-04-13T12:45:00.0;257.3206;189.7876;140.9661;48.8214;185.5527;189.7876;140.9661;48.8214;185.5527;1.0000
2020-04-13T12:45:00.0/2020-04-13T13:00:00.0;253.9991;187.0324;138.7887;48.2437;185.0739;187.0324;138.7887;48.2437;185.0739;1.0000
2020-04-13T13:00:00.0/2020-04-13T13:15:00.0;249.7663;183.4686;135.8903;47.5783;184.2779;183.4686;135.8903;47.5783;184.2779;1.0000
2020-04-13T13:15:00.0/2020-04-13T13:30:00.0;244.6404;179.1147;132.2901;46.8245;183.1525;179.1147;132.2901;46.8245;183.1525;1.0000
2020-04-13T13:30:00.0/2020-04-13T13:45:00.0;238.6436;173.9937;128.0123;45.9814;181.6809;173.9937;128.0123;45.9814;181.6809;1.0000
2020-04-13T13:45:00.0/2020-04-13T14:00:00.0;231.8015;168.1326;123.0854;45.0472;179.8419;168.1326;123.0854;45.0472;179.8419;1.0000
2020-04-13T14:00:00.0/2020-04-13T14:15:00.0;224.1437;161.5623;117.5433;44.0190;177.6086;161.5623;117.5433;44.0190;177.6086;1.0000
2020-04-13T14:15:00.0/2020-04-13T14:30:00.0;215.7030;154.3183;111.4249;42.8935;174.9480;154.3183;111.4249;42.8935;174.9480;1.0000
2020-04-13T14:30:00.0/2020-04-13T14:45:00.0;206.5157;146.4402;104.7744;41.6658;171.8200;146.4402;104.7744;41.6658;171.8200;1.0000
2020-04-13T14:45:00.0/2020-04-13T15:00:00.0;196.6212;137.9724;97.6424;40.3301;168.1765;137.9724;97.6424;40.3301;168.1765;1.0000
2020-04-13T15:00:00.0/2020-04-13T15:15:00.0;186.0620;129.1123;90.4149;38.6974;164.5652;129.1123;90.4149;38.6974;164.5652;1.0000
2020-04-13T15:15:00.0/2020-04-13T15:30:00.0;174.8835;119.9060;83.1168;36.7892;160.9448;119.9060;83.1168;36.7892;160.9448;1.0000
2020-04-13T15:30:00.0/2020-04-13T15:45:00.0;163.1337;110.2589;75.4630;34.7960;156.6399;110.2589;75.4630;34.7960;156.6399;1.0000
2020-04-13T15:45:00.0/2020-04-13T16:00:00.0;150.8629;100.2336;67.5219;32.7116;151.5449;100.2336;67.5219;32.7116;151.5449;1.0000
2020-04-13T16:00:00.0/2020-04-13T16:15:00.0;138.1239;89.8982;59.3697;30.5285;145.5220;89.8982;59.3697;30.5285;145.5220;1.0000
2020-04-13T16:15:00.0/2020-04-13T16:30:00.0;124.9713;79.3279;51.0907;28.2372;138.3876;79.3279;51.0907;28.2372;138.3876;1.0000
2020-04-13T16:30:00.0/2020-04-13T16:45:00.0;111.4615;68.6072;42.7844;25.8228;129.9048;68.6072;42.7844;25.8228;129.9048;1.0000
2020-04-13T16:45:00.0/2020-04-13T17:00:00.0;97.6526;57.8613;34.7141;23.1472;120.2708;57.8613;34.7141;23.1472;120.2708;1.0000
2020-04-13T17:00:00.0/2020-04-13T17:15:00.0;83.6036;47.2171;26.9596;20.2575;109.0368;47.2171;26.9596;20.2575;109.0368;1.0000
2020-04-13T17:15:00.0/2020-04-13T17:30:00.0;69.3749;36.8202;19.6194;17.2008;95.5219;36.8202;19.6194;17.2008;95.5219;1.0000
2020-04-13T17:30:00.0/2020-04-13T17:45:00.0;55.0276;26.8814;12.9473;13.9341;79.2988;26.8814;12.9473;13.9341;79.2988;1.0000
2020-04-13T17:45:00.0/2020-04-13T18:00:00.0;40.6231;17.6878;7.2729;10.4150;60.0163;17.6878;7.2729;10.4150;60.0163;1.0000
2020-04-13T18:00:00.0/2020-04-13T18:15:00.0;26.2232;9.6472;2.9932;6.6540;37.5676;9.6472;2.9932;6.6540;37.5676;1.0000
2020-04-13T18:15:00.0/2020-04-13T18:30:00.0;11.8897;3.3874;0.5493;2.8381;12.8194;3.3874;0.5493;2.8381;12.8194;1.0000
2020-04-13T18:30:00.0/2020-04-13T18:45:00.0;0.7984;0.1733;0.0059;0.1675;0.0000;0.1733;0.0059;0.1675;0.0000;1.0000
2020-04-13T18:45:00.0/2020-04-13T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T19:00:00.0/2020-04-13T19:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T19:15:00.0/2020-04-13T19:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T19:30:00.0/2020-04-13T19:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T19:45:00.0/2020-04-13T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T20:00:00.0/2020-04-13T20:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T20:15:00.0/2020-04-13T20:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T20:30:00.0/2020-04-13T20:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T20:45:00.0/2020-04-13T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T21:00:00.0/2020-04-13T21:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T21:15:00.0/2020-04-13T21:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T21:30:00.0/2020-04-13T21:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T21:45:00.0/2020-04-13T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T22:00:00.0/2020-04-13T22:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T22:15:00.0/2020-04-13T22:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T22:30:00.0/2020-04-13T22:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
