# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.5 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (Meteosat Second Generation satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2020-05-25T00:00:00.0
# Date end (ISO 8601): 2020-05-26T00:00:00.0
# Latitude (positive North, ISO 19115): 48.7130
# Longitude (positive East, ISO 19115): 2.2080
# Altitude (m): 158.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 0 h 15 min 0 s
# noValue: nan
# File generated on: 2023-05-27
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2020-05-25T00:00:00.0/2020-05-25T00:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-05-25T00:15:00.0/2020-05-25T00:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-05-25T00:30:00.0/2020-05-25T00:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-05-25T00:45:00.0/2020-05-25T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-05-25T01:00:00.0/2020-05-25T01:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-05-25T01:15:00.0/2020-05-25T01:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-05-25T01:30:00.0/2020-05-25T01:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-05-25T01:45:00.0/2020-05-25T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-05-25T02:00:00.0/2020-05-25T02:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-05-25T02:15:00.0/2020-05-25T02:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-05-25T02:30:00.0/2020-05-25T02:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-05-25T02:45:00.0/2020-05-25T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-05-25T03:00:00.0/2020-05-25T03:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-05-25T03:15:00.0/2020-05-25T03:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-05-25T03:30:00.0/2020-05-25T03:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-05-25T03:45:00.0/2020-05-25T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-05-25T04:00:00.0/2020-05-25T04:15:00.0;3.0571;0.7101;0.0412;0.6689;0.9229;0.7101;0.0412;0.6689;0.9229;1.0000
2020-05-25T04:15:00.0/2020-05-25T04:30:00.0;14.8604;4.4797;0.9142;3.5654;18.8058;4.4797;0.9142;3.5654;18.8058;1.0000
2020-05-25T04:30:00.0/2020-05-25T04:45:00.0;27.4698;10.3823;3.5864;6.7960;42.4192;10.3823;3.5864;6.7960;42.4192;1.0000
2020-05-25T04:45:00.0/2020-05-25T05:00:00.0;40.3442;17.8377;7.9735;9.8643;65.0049;17.8377;7.9735;9.8643;65.0049;1.0000
2020-05-25T05:00:00.0/2020-05-25T05:15:00.0;53.4285;26.4402;13.8087;12.6315;85.3705;26.3686;13.7266;12.6420;84.9078;1.0000
2020-05-25T05:15:00.0/2020-05-25T05:30:00.0;66.6668;35.8779;20.7929;15.0850;103.2198;33.9864;18.4790;15.5074;91.9126;1.0000
2020-05-25T05:30:00.0/2020-05-25T05:45:00.0;80.0025;45.9132;28.6526;17.2606;118.6445;45.0056;27.4850;17.5207;113.5940;1.0000
2020-05-25T05:45:00.0/2020-05-25T06:00:00.0;93.3783;56.3646;37.1620;19.2026;131.9113;56.2393;36.9879;19.2514;131.3275;1.0000
2020-05-25T06:00:00.0/2020-05-25T06:15:00.0;106.7372;67.0823;46.1251;20.9571;143.2852;64.0330;41.7747;22.2582;129.9068;1.0000
2020-05-25T06:15:00.0/2020-05-25T06:30:00.0;120.0220;77.9506;55.3971;22.5535;153.0729;76.5804;53.3980;23.1823;147.3908;1.0000
2020-05-25T06:30:00.0/2020-05-25T06:45:00.0;133.1757;88.8810;64.8793;24.0016;161.5903;88.8810;64.8793;24.0016;161.5903;1.0000
2020-05-25T06:45:00.0/2020-05-25T07:00:00.0;146.1421;99.7896;74.4748;25.3148;169.0479;99.5100;73.9902;25.5198;167.9862;1.0000
2020-05-25T07:00:00.0/2020-05-25T07:15:00.0;158.8658;110.6007;84.0960;26.5047;175.6107;103.8244;71.9741;31.8503;150.4980;1.0000
2020-05-25T07:15:00.0/2020-05-25T07:30:00.0;171.2922;121.2445;93.6620;27.5825;181.4069;112.1638;72.0800;40.0839;139.6171;1.0000
2020-05-25T07:30:00.0/2020-05-25T07:45:00.0;183.3683;131.6564;103.0971;28.5593;186.5374;128.7465;95.2677;33.4788;172.1860;1.0000
2020-05-25T07:45:00.0/2020-05-25T08:00:00.0;195.0423;141.7758;112.3301;29.4457;191.0835;136.4008;96.5199;39.8810;164.3538;1.0000
