PeriodStart,Dhi,Dni,Ghi
2020-08-10T00:00:00Z,0,0,0
2020-08-10T00:15:00Z,0,0,0
2020-08-10T00:30:00Z,0,0,0
2020-08-10T00:45:00Z,0,0,0
2020-08-10T01:00:00Z,0,0,0
2020-08-10T01:15:00Z,0,0,0
2020-08-10T01:30:00Z,0,0,0
2020-08-10T01:45:00Z,0,0,0
2020-08-10T02:00:00Z,0,0,0
2020-08-10T02:15:00Z,0,0,0
2020-08-10T02:30:00Z,0,0,0
2020-08-10T02:45:00Z,0,0,0
2020-08-10T03:00:00Z,0,0,0
2020-08-10T03:15:00Z,0,0,0
2020-08-10T03:30:00Z,0,0,0
2020-08-10T03:45:00Z,0,0,0
2020-08-10T04:00:00Z,0,0,0
2020-08-10T04:15:00Z,0,0,0
2020-08-10T04:30:00Z,0,0,0
2020-08-10T04:45:00Z,4,0,4
2020-08-10T05:00:00Z,22,0,22
2020-08-10T05:15:00Z,34,0,34
2020-08-10T05:30:00Z,54,0,54
2020-08-10T05:45:00Z,89,0,89
2020-08-10T06:00:00Z,104,0,104
2020-08-10T06:15:00Z,122,0,122
2020-08-10T06:30:00Z,144,113,181
2020-08-10T06:45:00Z,92,523,279
2020-08-10T07:00:00Z,103,540,317
2020-08-10T07:15:00Z,124,511,348
2020-08-10T07:30:00Z,107,625,403
2020-08-10T07:45:00Z,111,649,443
2020-08-10T08:00:00Z,115,670,481
2020-08-10T08:15:00Z,119,688,519
2020-08-10T08:30:00Z,122,704,554
2020-08-10T08:45:00Z,125,719,588
2020-08-10T09:00:00Z,128,732,621
2020-08-10T09:15:00Z,130,744,651
2020-08-10T09:30:00Z,133,753,679
2020-08-10T09:45:00Z,136,761,704
2020-08-10T10:00:00Z,173,692,704
2020-08-10T10:15:00Z,383,224,558
2020-08-10T10:30:00Z,449,63,499
2020-08-10T10:45:00Z,361,313,616
2020-08-10T11:00:00Z,161,750,779
2020-08-10T11:15:00Z,145,787,799
2020-08-10T11:30:00Z,144,790,805
2020-08-10T11:45:00Z,143,794,808
2020-08-10T12:00:00Z,141,796,808
2020-08-10T12:15:00Z,145,786,801
2020-08-10T12:30:00Z,238,599,734
2020-08-10T12:45:00Z,203,664,746
2020-08-10T13:00:00Z,138,787,774
2020-08-10T13:15:00Z,160,736,744
2020-08-10T13:30:00Z,286,454,638
2020-08-10T13:45:00Z,290,424,612
2020-08-10T14:00:00Z,223,558,633
2020-08-10T14:15:00Z,132,750,667
2020-08-10T14:30:00Z,129,741,639
2020-08-10T14:45:00Z,126,731,608
2020-08-10T15:00:00Z,139,674,564
2020-08-10T15:15:00Z,176,547,502
2020-08-10T15:30:00Z,115,690,504
2020-08-10T15:45:00Z,111,671,466
2020-08-10T16:00:00Z,107,649,427
2020-08-10T16:15:00Z,102,624,387
2020-08-10T16:30:00Z,97,595,346
2020-08-10T16:45:00Z,121,429,284
2020-08-10T17:00:00Z,149,185,212
2020-08-10T17:15:00Z,147,15,152
2020-08-10T17:30:00Z,113,0,113
2020-08-10T17:45:00Z,94,0,94
2020-08-10T18:00:00Z,77,27,82
2020-08-10T18:15:00Z,52,92,63
2020-08-10T18:30:00Z,29,47,34
2020-08-10T18:45:00Z,8,0,8
2020-08-10T19:00:00Z,2,0,2
2020-08-10T19:15:00Z,0,0,0
2020-08-10T19:30:00Z,0,0,0
2020-08-10T19:45:00Z,0,0,0
2020-08-10T20:00:00Z,0,0,0
2020-08-10T20:15:00Z,0,0,0
2020-08-10T20:30:00Z,0,0,0
2020-08-10T20:45:00Z,0,0,0
2020-08-10T21:00:00Z,0,0,0
2020-08-10T21:15:00Z,0,0,0
2020-08-10T21:30:00Z,0,0,0
2020-08-10T21:45:00Z,0,0,0
2020-08-10T22:00:00Z,0,0,0
2020-08-10T22:15:00Z,0,0,0
2020-08-10T22:30:00Z,0,0,0
2020-08-10T22:45:00Z,0,0,0
2020-08-10T23:00:00Z,0,0,0
2020-08-10T23:15:00Z,0,0,0
2020-08-10T23:30:00Z,0,0,0
2020-08-10T23:45:00Z,0,0,0
