PeriodStart,Dhi,Dni,Ghi
2020-04-13T00:00:00Z,0,0,0
2020-04-13T00:15:00Z,0,0,0
2020-04-13T00:30:00Z,0,0,0
2020-04-13T00:45:00Z,0,0,0
2020-04-13T01:00:00Z,0,0,0
2020-04-13T01:15:00Z,0,0,0
2020-04-13T01:30:00Z,0,0,0
2020-04-13T01:45:00Z,0,0,0
2020-04-13T02:00:00Z,0,0,0
2020-04-13T02:15:00Z,0,0,0
2020-04-13T02:30:00Z,0,0,0
2020-04-13T02:45:00Z,0,0,0
2020-04-13T03:00:00Z,0,0,0
2020-04-13T03:15:00Z,0,0,0
2020-04-13T03:30:00Z,0,0,0
2020-04-13T03:45:00Z,0,0,0
2020-04-13T04:00:00Z,0,0,0
2020-04-13T04:15:00Z,0,0,0
2020-04-13T04:30:00Z,0,0,0
2020-04-13T04:45:00Z,0,0,0
2020-04-13T05:00:00Z,0,0,0
2020-04-13T05:15:00Z,11,19,13
2020-04-13T05:30:00Z,30,27,32
2020-04-13T05:45:00Z,46,0,46
2020-04-13T06:00:00Z,71,28,76
2020-04-13T06:15:00Z,73,293,133
2020-04-13T06:30:00Z,82,379,175
2020-04-13T06:45:00Z,93,425,215
2020-04-13T07:00:00Z,105,464,257
2020-04-13T07:15:00Z,149,340,272
2020-04-13T07:30:00Z,216,110,261
2020-04-13T07:45:00Z,166,430,358
2020-04-13T08:00:00Z,161,518,409
2020-04-13T08:15:00Z,212,389,414
2020-04-13T08:30:00Z,156,628,500
2020-04-13T08:45:00Z,176,605,526
2020-04-13T09:00:00Z,323,178,430
2020-04-13T09:15:00Z,254,0,254
2020-04-13T09:30:00Z,127,0,127
2020-04-13T09:45:00Z,102,0,102
2020-04-13T10:00:00Z,129,0,129
2020-04-13T10:15:00Z,257,0,257
2020-04-13T10:30:00Z,425,71,477
2020-04-13T10:45:00Z,392,243,573
2020-04-13T11:00:00Z,466,35,492
2020-04-13T11:15:00Z,422,191,568
2020-04-13T11:30:00Z,365,347,631
2020-04-13T11:45:00Z,247,620,723
2020-04-13T12:00:00Z,185,752,762
2020-04-13T12:15:00Z,184,753,758
2020-04-13T12:30:00Z,181,753,750
2020-04-13T12:45:00Z,179,751,739
2020-04-13T13:00:00Z,176,749,725
2020-04-13T13:15:00Z,173,745,708
2020-04-13T13:30:00Z,169,740,688
2020-04-13T13:45:00Z,165,735,665
2020-04-13T14:00:00Z,160,728,639
2020-04-13T14:15:00Z,155,720,611
2020-04-13T14:30:00Z,147,715,581
2020-04-13T14:45:00Z,137,715,550
2020-04-13T15:00:00Z,127,714,517
2020-04-13T15:15:00Z,117,712,482
2020-04-13T15:30:00Z,109,701,444
2020-04-13T15:45:00Z,103,679,403
2020-04-13T16:00:00Z,97,654,361
2020-04-13T16:15:00Z,90,626,319
2020-04-13T16:30:00Z,84,592,276
2020-04-13T16:45:00Z,76,552,233
2020-04-13T17:00:00Z,68,504,190
2020-04-13T17:15:00Z,59,447,149
2020-04-13T17:30:00Z,49,379,109
2020-04-13T17:45:00Z,38,297,73
2020-04-13T18:00:00Z,25,169,40
2020-04-13T18:15:00Z,11,33,14
2020-04-13T18:30:00Z,0,0,0
2020-04-13T18:45:00Z,0,0,0
2020-04-13T19:00:00Z,0,0,0
2020-04-13T19:15:00Z,0,0,0
2020-04-13T19:30:00Z,0,0,0
2020-04-13T19:45:00Z,0,0,0
2020-04-13T20:00:00Z,0,0,0
2020-04-13T20:15:00Z,0,0,0
2020-04-13T20:30:00Z,0,0,0
2020-04-13T20:45:00Z,0,0,0
2020-04-13T21:00:00Z,0,0,0
2020-04-13T21:15:00Z,0,0,0
2020-04-13T21:30:00Z,0,0,0
2020-04-13T21:45:00Z,0,0,0
2020-04-13T22:00:00Z,0,0,0
2020-04-13T22:15:00Z,0,0,0
2020-04-13T22:30:00Z,0,0,0
2020-04-13T22:45:00Z,0,0,0
2020-04-13T23:00:00Z,0,0,0
2020-04-13T23:15:00Z,0,0,0
2020-04-13T23:30:00Z,0,0,0
2020-04-13T23:45:00Z,0,0,0
