PeriodStart,Dhi,Dni,Ghi
2020-05-25T00:00:00Z,0,0,0
2020-05-25T00:15:00Z,0,0,0
2020-05-25T00:30:00Z,0,0,0
2020-05-25T00:45:00Z,0,0,0
2020-05-25T01:00:00Z,0,0,0
2020-05-25T01:15:00Z,0,0,0
2020-05-25T01:30:00Z,0,0,0
2020-05-25T01:45:00Z,0,0,0
2020-05-25T02:00:00Z,0,0,0
2020-05-25T02:15:00Z,0,0,0
2020-05-25T02:30:00Z,0,0,0
2020-05-25T02:45:00Z,0,0,0
2020-05-25T03:00:00Z,0,0,0
2020-05-25T03:15:00Z,0,0,0
2020-05-25T03:30:00Z,0,0,0
2020-05-25T03:45:00Z,1,0,1
2020-05-25T04:00:00Z,13,0,13
2020-05-25T04:15:00Z,33,4,33
2020-05-25T04:30:00Z,51,69,60
2020-05-25T04:45:00Z,64,189,94
2020-05-25T05:00:00Z,56,452,147
2020-05-25T05:15:00Z,58,551,191
2020-05-25T05:30:00Z,63,602,234
2020-05-25T05:45:00Z,68,647,278
2020-05-25T06:00:00Z,72,686,323
2020-05-25T06:15:00Z,75,719,369
2020-05-25T06:30:00Z,79,747,413
2020-05-25T06:45:00Z,82,771,458
2020-05-25T07:00:00Z,85,792,501
2020-05-25T07:15:00Z,87,810,544
2020-05-25T07:30:00Z,90,826,586
2020-05-25T07:45:00Z,92,841,626
2020-05-25T08:00:00Z,94,854,664
2020-05-25T08:15:00Z,96,865,701
2020-05-25T08:30:00Z,98,875,735
2020-05-25T08:45:00Z,99,883,767
2020-05-25T09:00:00Z,100,891,797
2020-05-25T09:15:00Z,102,898,824
2020-05-25T09:30:00Z,102,905,849
2020-05-25T09:45:00Z,102,912,871
2020-05-25T10:00:00Z,102,917,890
2020-05-25T10:15:00Z,102,922,906
2020-05-25T10:30:00Z,102,925,919
2020-05-25T10:45:00Z,102,927,928
2020-05-25T11:00:00Z,102,928,934
2020-05-25T11:15:00Z,102,929,937
2020-05-25T11:30:00Z,102,928,937
2020-05-25T11:45:00Z,102,928,934
2020-05-25T12:00:00Z,102,926,927
2020-05-25T12:15:00Z,102,924,917
2020-05-25T12:30:00Z,101,922,904
2020-05-25T12:45:00Z,99,920,888
2020-05-25T13:00:00Z,97,918,869
2020-05-25T13:15:00Z,96,914,847
2020-05-25T13:30:00Z,94,909,823
2020-05-25T13:45:00Z,93,903,795
2020-05-25T14:00:00Z,92,895,765
2020-05-25T14:15:00Z,90,887,733
2020-05-25T14:30:00Z,89,877,698
2020-05-25T14:45:00Z,87,866,662
2020-05-25T15:00:00Z,85,854,623
2020-05-25T15:15:00Z,83,840,583
2020-05-25T15:30:00Z,81,823,541
2020-05-25T15:45:00Z,79,803,498
2020-05-25T16:00:00Z,77,781,454
2020-05-25T16:15:00Z,75,756,410
2020-05-25T16:30:00Z,72,727,365
2020-05-25T16:45:00Z,69,693,320
2020-05-25T17:00:00Z,65,655,275
2020-05-25T17:15:00Z,61,610,231
2020-05-25T17:30:00Z,56,557,188
2020-05-25T17:45:00Z,50,495,146
2020-05-25T18:00:00Z,42,420,107
2020-05-25T18:15:00Z,34,331,71
2020-05-25T18:30:00Z,24,191,40
2020-05-25T18:45:00Z,11,44,15
2020-05-25T19:00:00Z,1,1,1
2020-05-25T19:15:00Z,0,0,0
2020-05-25T19:30:00Z,0,0,0
2020-05-25T19:45:00Z,0,0,0
2020-05-25T20:00:00Z,0,0,0
2020-05-25T20:15:00Z,0,0,0
2020-05-25T20:30:00Z,0,0,0
2020-05-25T20:45:00Z,0,0,0
2020-05-25T21:00:00Z,0,0,0
2020-05-25T21:15:00Z,0,0,0
2020-05-25T21:30:00Z,0,0,0
2020-05-25T21:45:00Z,0,0,0
2020-05-25T22:00:00Z,0,0,0
2020-05-25T22:15:00Z,0,0,0
2020-05-25T22:30:00Z,0,0,0
2020-05-25T22:45:00Z,0,0,0
2020-05-25T23:00:00Z,0,0,0
2020-05-25T23:15:00Z,0,0,0
2020-05-25T23:30:00Z,0,0,0
2020-05-25T23:45:00Z,0,0,0
