PeriodStart,Dhi,Dni,Ghi
2020-01-27T00:00:00Z,0,0,0
2020-01-27T00:15:00Z,0,0,0
2020-01-27T00:30:00Z,0,0,0
2020-01-27T00:45:00Z,0,0,0
2020-01-27T01:00:00Z,0,0,0
2020-01-27T01:15:00Z,0,0,0
2020-01-27T01:30:00Z,0,0,0
2020-01-27T01:45:00Z,0,0,0
2020-01-27T02:00:00Z,0,0,0
2020-01-27T02:15:00Z,0,0,0
2020-01-27T02:30:00Z,0,0,0
2020-01-27T02:45:00Z,0,0,0
2020-01-27T03:00:00Z,0,0,0
2020-01-27T03:15:00Z,0,0,0
2020-01-27T03:30:00Z,0,0,0
2020-01-27T03:45:00Z,0,0,0
2020-01-27T04:00:00Z,0,0,0
2020-01-27T04:15:00Z,0,0,0
2020-01-27T04:30:00Z,0,0,0
2020-01-27T04:45:00Z,0,0,0
2020-01-27T05:00:00Z,0,0,0
2020-01-27T05:15:00Z,0,0,0
2020-01-27T05:30:00Z,0,0,0
2020-01-27T05:45:00Z,0,0,0
2020-01-27T06:00:00Z,0,0,0
2020-01-27T06:15:00Z,0,0,0
2020-01-27T06:30:00Z,0,0,0
2020-01-27T06:45:00Z,0,0,0
2020-01-27T07:00:00Z,1,0,1
2020-01-27T07:15:00Z,13,29,16
2020-01-27T07:30:00Z,31,50,36
2020-01-27T07:45:00Z,51,26,54
2020-01-27T08:00:00Z,62,201,91
2020-01-27T08:15:00Z,73,280,123
2020-01-27T08:30:00Z,65,488,167
2020-01-27T08:45:00Z,64,587,204
2020-01-27T09:00:00Z,67,632,235
2020-01-27T09:15:00Z,91,549,250
2020-01-27T09:30:00Z,117,455,260
2020-01-27T09:45:00Z,142,373,267
2020-01-27T10:00:00Z,170,271,266
2020-01-27T10:15:00Z,189,216,270
2020-01-27T10:30:00Z,202,186,274
2020-01-27T10:45:00Z,227,3,228
2020-01-27T11:00:00Z,224,40,240
2020-01-27T11:15:00Z,217,182,292
2020-01-27T11:30:00Z,235,0,235
2020-01-27T11:45:00Z,204,0,204
2020-01-27T12:00:00Z,130,0,130
2020-01-27T12:15:00Z,117,0,117
2020-01-27T12:30:00Z,131,0,131
2020-01-27T12:45:00Z,164,0,164
2020-01-27T13:00:00Z,175,0,175
2020-01-27T13:15:00Z,148,0,148
2020-01-27T13:30:00Z,123,0,123
2020-01-27T13:45:00Z,106,0,106
2020-01-27T14:00:00Z,99,0,99
2020-01-27T14:15:00Z,88,0,88
2020-01-27T14:30:00Z,81,0,81
2020-01-27T14:45:00Z,83,0,83
2020-01-27T15:00:00Z,73,0,73
2020-01-27T15:15:00Z,55,0,55
2020-01-27T15:30:00Z,41,0,41
2020-01-27T15:45:00Z,20,0,20
2020-01-27T16:00:00Z,5,0,5
2020-01-27T16:15:00Z,0,0,0
2020-01-27T16:30:00Z,0,0,0
2020-01-27T16:45:00Z,0,0,0
2020-01-27T17:00:00Z,0,0,0
2020-01-27T17:15:00Z,0,0,0
2020-01-27T17:30:00Z,0,0,0
2020-01-27T17:45:00Z,0,0,0
2020-01-27T18:00:00Z,0,0,0
2020-01-27T18:15:00Z,0,0,0
2020-01-27T18:30:00Z,0,0,0
2020-01-27T18:45:00Z,0,0,0
2020-01-27T19:00:00Z,0,0,0
2020-01-27T19:15:00Z,0,0,0
2020-01-27T19:30:00Z,0,0,0
2020-01-27T19:45:00Z,0,0,0
2020-01-27T20:00:00Z,0,0,0
2020-01-27T20:15:00Z,0,0,0
2020-01-27T20:30:00Z,0,0,0
2020-01-27T20:45:00Z,0,0,0
2020-01-27T21:00:00Z,0,0,0
2020-01-27T21:15:00Z,0,0,0
2020-01-27T21:30:00Z,0,0,0
2020-01-27T21:45:00Z,0,0,0
2020-01-27T22:00:00Z,0,0,0
2020-01-27T22:15:00Z,0,0,0
2020-01-27T22:30:00Z,0,0,0
2020-01-27T22:45:00Z,0,0,0
2020-01-27T23:00:00Z,0,0,0
2020-01-27T23:15:00Z,0,0,0
2020-01-27T23:30:00Z,0,0,0
2020-01-27T23:45:00Z,0,0,0
