# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.5 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (Meteosat Second Generation satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2020-04-13T00:00:00.0
# Date end (ISO 8601): 2020-04-14T00:00:00.0
# Latitude (positive North, ISO 19115): 52.2100
# Longitude (positive East, ISO 19115): 14.1220
# Altitude (m): 112.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 0 h 15 min 0 s
# noValue: nan
# File generated on: 2023-05-27
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2020-04-13T00:00:00.0/2020-04-13T00:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T00:15:00.0/2020-04-13T00:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T00:30:00.0/2020-04-13T00:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T00:45:00.0/2020-04-13T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T01:00:00.0/2020-04-13T01:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T01:15:00.0/2020-04-13T01:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T01:30:00.0/2020-04-13T01:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T01:45:00.0/2020-04-13T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T02:00:00.0/2020-04-13T02:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T02:15:00.0/2020-04-13T02:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T02:30:00.0/2020-04-13T02:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T02:45:00.0/2020-04-13T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T03:00:00.0/2020-04-13T03:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T03:15:00.0/2020-04-13T03:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T03:30:00.0/2020-04-13T03:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T03:45:00.0/2020-04-13T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T04:00:00.0/2020-04-13T04:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T04:15:00.0/2020-04-13T04:30:00.0;5.9095;1.3166;0.0621;1.2546;1.6611;1.3166;0.0621;1.2546;1.6611;1.0000
2020-04-13T04:30:00.0/2020-04-13T04:45:00.0;19.1714;5.2687;0.5871;4.6816;9.8215;5.2687;0.5871;4.6816;9.8215;1.0000
2020-04-13T04:45:00.0/2020-04-13T05:00:00.0;32.5517;10.7486;2.0689;8.6797;21.0975;10.4192;1.9848;8.4344;20.3516;1.0000
2020-04-13T05:00:00.0/2020-04-13T05:15:00.0;45.9757;17.5744;4.7172;12.8572;34.4240;6.2036;1.1359;5.0678;8.9777;1.0000
2020-04-13T05:15:00.0/2020-04-13T05:30:00.0;59.3859;25.4883;8.4974;16.9909;48.2161;2.9419;0.0000;2.9419;0.0000;1.0000
2020-04-13T05:30:00.0/2020-04-13T05:45:00.0;72.7250;34.2255;13.2649;20.9606;61.5918;4.1428;0.0061;4.1367;0.0264;1.0000
2020-04-13T05:45:00.0/2020-04-13T06:00:00.0;85.9359;43.5460;18.8387;24.7073;74.1093;19.1826;0.1846;18.9980;0.7169;1.0000
2020-04-13T06:00:00.0/2020-04-13T06:15:00.0;98.9620;53.4655;25.3556;28.1099;86.6524;12.1942;0.0954;12.0988;0.3372;1.0000
2020-04-13T06:15:00.0/2020-04-13T06:30:00.0;111.7478;63.8754;32.8012;31.0742;99.3193;5.8118;0.0000;5.8118;0.0000;1.0000
2020-04-13T06:30:00.0/2020-04-13T06:45:00.0;124.2383;74.4268;40.7687;33.6582;111.0683;11.3256;0.0000;11.3256;0.0000;1.0000
2020-04-13T06:45:00.0/2020-04-13T07:00:00.0;136.3803;84.9822;49.1048;35.8774;121.8945;14.5979;0.0000;14.5979;0.0000;1.0000
2020-04-13T07:00:00.0/2020-04-13T07:15:00.0;148.1219;95.4477;57.8006;37.6471;132.1221;14.3678;0.0000;14.3678;0.0000;1.0000
2020-04-13T07:15:00.0/2020-04-13T07:30:00.0;159.4126;105.7291;66.7953;38.9338;141.8846;10.2098;0.0000;10.2098;0.0000;1.0000
2020-04-13T07:30:00.0/2020-04-13T07:45:00.0;170.2044;115.6964;75.8214;39.8750;150.8576;8.8123;0.0000;8.8123;0.0000;1.0000
2020-04-13T07:45:00.0/2020-04-13T08:00:00.0;180.4511;125.2726;84.8008;40.4719;159.1526;9.2578;0.0000;9.2578;0.0000;1.0000
2020-04-13T08:00:00.0/2020-04-13T08:15:00.0;190.1088;134.4141;93.5926;40.8214;166.7373;12.5230;0.0000;12.5230;0.0000;1.0000
2020-04-13T08:15:00.0/2020-04-13T08:30:00.0;199.1362;143.0655;102.1138;40.9518;173.6769;11.4836;0.0000;11.4836;0.0000;1.0000
2020-04-13T08:30:00.0/2020-04-13T08:45:00.0;207.4949;151.1775;110.2901;40.8874;180.0315;13.6471;0.0000;13.6471;0.0000;1.0000
2020-04-13T08:45:00.0/2020-04-13T09:00:00.0;215.1490;158.7060;118.0553;40.6507;185.8548;26.2589;0.0326;26.2263;0.0506;1.0000
2020-04-13T09:00:00.0/2020-04-13T09:15:00.0;222.0658;165.5724;125.2618;40.3105;191.0610;55.8877;1.0128;54.8749;1.5380;1.0000
2020-04-13T09:15:00.0/2020-04-13T09:30:00.0;228.2159;171.7471;131.9244;39.8227;195.8019;81.3072;5.5576;75.7496;8.2317;1.0000
2020-04-13T09:30:00.0/2020-04-13T09:45:00.0;233.5729;177.2430;138.1452;39.0978;200.3338;91.8460;9.0866;82.7594;13.1746;1.0000
2020-04-13T09:45:00.0/2020-04-13T10:00:00.0;238.1140;182.0258;143.7527;38.2731;204.4908;78.5213;4.1927;74.3286;5.9779;1.0000
2020-04-13T10:00:00.0/2020-04-13T10:15:00.0;241.8199;186.0734;148.7105;37.3629;208.3021;90.9376;8.5699;82.3677;11.9843;1.0000
2020-04-13T10:15:00.0/2020-04-13T10:30:00.0;244.6748;189.3950;153.0054;36.3895;211.8176;133.6319;37.3449;96.2870;51.6632;1.0000
2020-04-13T10:30:00.0/2020-04-13T10:45:00.0;246.6665;192.0457;156.6544;35.3913;215.1181;146.0900;42.9593;103.1307;58.9977;1.0000
2020-04-13T10:45:00.0/2020-04-13T11:00:00.0;247.7867;193.9249;159.5904;34.3345;218.1588;146.4016;41.7973;104.6042;57.1364;1.0000
2020-04-13T11:00:00.0/2020-04-13T11:15:00.0;248.0305;195.0163;161.7927;33.2235;220.9515;145.5698;40.3812;105.1886;55.1463;1.0000
2020-04-13T11:15:00.0/2020-04-13T11:30:00.0;247.3971;195.3162;163.2498;32.0663;223.5115;140.3307;46.3070;94.0237;63.4076;1.0000
2020-04-13T11:30:00.0/2020-04-13T11:45:00.0;245.8893;194.8247;163.9541;30.8706;225.8515;157.1369;82.5361;74.6008;113.7340;1.0000
2020-04-13T11:45:00.0/2020-04-13T12:00:00.0;243.5137;193.5530;163.9114;29.6416;227.9944;164.3375;96.4284;67.9091;134.1188;1.0000
2020-04-13T12:00:00.0/2020-04-13T12:15:00.0;240.2805;191.2388;162.4717;28.7671;229.0293;147.7195;56.1115;91.6080;79.0084;1.0000
2020-04-13T12:15:00.0/2020-04-13T12:30:00.0;236.2036;187.8231;159.5390;28.2840;228.7749;129.1513;37.2235;91.9278;53.3719;1.0000
2020-04-13T12:30:00.0/2020-04-13T12:45:00.0;231.3008;183.6564;155.8923;27.7641;228.2820;116.2400;29.1970;87.0430;42.7254;1.0000
2020-04-13T12:45:00.0/2020-04-13T13:00:00.0;225.5930;178.7597;151.5521;27.2076;227.5390;97.7425;14.2460;83.4965;21.3463;1.0000
2020-04-13T13:00:00.0/2020-04-13T13:15:00.0;219.1048;173.1572;146.5426;26.6146;226.5305;101.7275;19.6374;82.0902;30.4069;1.0000
2020-04-13T13:15:00.0/2020-04-13T13:30:00.0;211.8642;166.8769;140.8923;25.9846;225.2365;98.2299;17.6486;80.5814;28.1810;1.0000
2020-04-13T13:30:00.0/2020-04-13T13:45:00.0;203.9022;159.9503;134.6337;25.3166;223.6324;101.5649;16.5917;84.9733;27.5658;1.0000
2020-04-13T13:45:00.0/2020-04-13T14:00:00.0;195.2531;152.4122;127.8036;24.6087;221.6871;80.6155;7.8367;72.7788;13.5302;1.0000
2020-04-13T14:00:00.0/2020-04-13T14:15:00.0;185.9539;144.3008;120.4427;23.8582;219.3621;81.8266;13.4996;68.3270;24.6751;1.0000
2020-04-13T14:15:00.0/2020-04-13T14:30:00.0;176.0448;135.6575;112.5960;23.0615;216.6088;75.3727;9.6947;65.6780;18.5760;1.0000
2020-04-13T14:30:00.0/2020-04-13T14:45:00.0;165.5681;126.5271;104.3129;22.2142;213.3657;73.5554;11.1084;62.4470;22.7858;1.0000
2020-04-13T14:45:00.0/2020-04-13T15:00:00.0;154.5689;116.9582;95.6467;21.3114;209.5535;67.1768;8.8325;58.3443;19.2853;1.0000
2020-04-13T15:00:00.0/2020-04-13T15:15:00.0;143.0944;106.8983;86.4631;20.4352;204.6068;53.6219;3.0465;50.5754;7.1334;1.0000
2020-04-13T15:15:00.0/2020-04-13T15:30:00.0;131.1939;96.4155;76.8512;19.5643;198.3428;43.8950;0.8036;43.0914;2.0672;1.0000
2020-04-13T15:30:00.0/2020-04-13T15:45:00.0;118.9183;85.6868;67.0931;18.5937;191.0123;43.9721;1.9530;42.0191;5.6023;1.0000
2020-04-13T15:45:00.0/2020-04-13T16:00:00.0;106.3205;74.7877;57.2776;17.5101;182.3603;38.7833;1.3468;37.4364;4.2486;1.0000
2020-04-13T16:00:00.0/2020-04-13T16:15:00.0;93.4544;63.8035;47.5093;16.2942;172.0414;24.3381;0.2620;24.0761;0.9226;1.0000
2020-04-13T16:15:00.0/2020-04-13T16:30:00.0;80.3752;52.8331;37.9170;14.9160;159.5822;25.1587;0.3169;24.8418;1.3602;1.0000
2020-04-13T16:30:00.0/2020-04-13T16:45:00.0;67.1391;41.9970;28.6675;13.3295;144.3297;24.8517;0.6622;24.1895;3.3644;1.0000
2020-04-13T16:45:00.0/2020-04-13T17:00:00.0;53.8028;31.4560;19.9878;11.4682;125.3787;19.9257;0.8272;19.0985;5.5008;1.0000
2020-04-13T17:00:00.0/2020-04-13T17:15:00.0;40.4236;21.4498;12.2008;9.2490;101.4787;18.8999;8.2112;10.6886;70.6430;1.0000
2020-04-13T17:15:00.0/2020-04-13T17:30:00.0;27.0587;12.3750;5.7813;6.5937;70.9473;12.3750;5.7813;6.5937;70.9473;1.0000
2020-04-13T17:30:00.0/2020-04-13T17:45:00.0;13.7657;4.9280;1.4411;3.4869;32.0036;4.9280;1.4411;3.4869;32.0036;1.0000
2020-04-13T17:45:00.0/2020-04-13T18:00:00.0;1.9485;0.5144;0.0388;0.4756;0.0000;0.5144;0.0388;0.4756;0.0000;1.0000
2020-04-13T18:00:00.0/2020-04-13T18:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T18:15:00.0/2020-04-13T18:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T18:30:00.0/2020-04-13T18:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T18:45:00.0/2020-04-13T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T19:00:00.0/2020-04-13T19:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T19:15:00.0/2020-04-13T19:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T19:30:00.0/2020-04-13T19:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T19:45:00.0/2020-04-13T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T20:00:00.0/2020-04-13T20:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T20:15:00.0/2020-04-13T20:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T20:30:00.0/2020-04-13T20:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T20:45:00.0/2020-04-13T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T21:00:00.0/2020-04-13T21:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T21:15:00.0/2020-04-13T21:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T21:30:00.0/2020-04-13T21:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T21:45:00.0/2020-04-13T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T22:00:00.0/2020-04-13T22:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T22:15:00.0/2020-04-13T22:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-04-13T22:30:00.0/2020-04-13T22:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
